index,voted
813,1
814,1
815,0
816,1
817,1
818,0
819,1
820,0
821,1
822,0
823,0
824,1
825,0
826,0
827,1
828,1
829,1
830,0
831,0
832,1
833,0
834,0
835,1
836,0
837,0
838,0
839,0
840,0
841,0
842,1
843,1
844,0
845,0
846,1
847,0
848,1
849,0
850,1
851,1
852,1
853,1
854,0
855,1
856,1
857,0
858,0
859,0
860,1
861,1
862,0
863,0
864,1
865,1
866,0
867,0
868,0
869,0
870,0
871,0
872,0
873,1
874,0
875,0
876,0
877,0
878,0
879,1
880,1
881,0
882,1
883,1
884,1
885,1
886,0
887,1
888,1
889,1
890,1
891,1
892,0
893,0
894,0
895,0
896,1
897,1
898,1
899,1
900,1
901,1
902,0
903,1
904,0
905,0
906,0
907,0
908,0
909,1
910,0
911,0
912,0
913,0
914,0
915,0
916,1
917,1
918,0
919,0
920,0
921,0
922,0
923,1
924,0
925,0
926,1
927,0
928,1
929,0
930,1
931,1
932,1
933,1
934,0
935,0
936,0
937,1
938,1
939,0
940,1
941,0
942,0
943,0
944,0
945,1
946,0
947,1
948,0
949,0
950,0
951,0
952,1
953,1
954,0
955,0
956,0
957,0
958,1
959,1
960,1
961,0
962,0
963,0
964,0
965,1
966,0
967,1
968,1
969,0
970,1
971,0
972,0
973,1
974,0
975,1
976,0
977,1
978,0
979,0
980,1
981,0
982,1
983,0
984,1
985,1
986,1
987,1
988,0
989,0
990,0
991,0
992,1
993,0
994,1
995,0
996,1
997,0
998,1
999,0
1000,0
1001,0
1002,0
1003,0
1004,1
1005,1
1006,0
1007,1
1008,1
1009,0
1010,0
1011,0
1012,1
1013,0
1014,1
1015,1
1016,1
1017,0
1018,0
1019,0
1020,1
1021,1
1022,1
1023,0
1024,0
1025,0
1026,0
1027,0
1028,0
1029,0
1030,1
1031,1
1032,1
1033,0
1034,0
1035,1
1036,1
1037,0
1038,1
1039,1
1040,0
1041,0
1042,0
1043,0
1044,1
1045,0
1046,0
1047,1
1048,0
1049,0
1050,1
1051,1
1052,0
1053,1
1054,1
1055,0
1056,1
1057,1
1058,0
1059,0
1060,0
1061,0
1062,0
1063,0
1064,1
1065,0
1066,1
1067,0
1068,0
1069,0
1070,0
1071,1
1072,0
1073,0
1074,1
1075,0
1076,0
1077,1
1078,0
1079,1
1080,1
1081,0
1082,0
1083,1
1084,0
1085,0
1086,0
1087,1
1088,1
1089,1
1090,1
1091,0
1092,1
1093,0
1094,0
1095,0
1096,1
1097,1
1098,1
1099,1
1100,0
1101,0
1102,1
1103,1
1104,0
1105,1
1106,0
1107,1
1108,1
1109,1
1110,0
1111,0
1112,0
1113,0
1114,1
1115,1
1116,1
1117,0
1118,1
1119,0
1120,0
1121,1
1122,1
1123,1
1124,1
1125,1
1126,1
1127,1
1128,0
1129,0
1130,1
1131,1
1132,0
1133,1
1134,0
1135,1
1136,0
1137,0
1138,1
1139,0
1140,1
1141,1
1142,1
1143,1
1144,0
1145,0
1146,1
1147,1
1148,1
1149,1
1150,0
1151,1
1152,0
1153,1
1154,0
1155,0
1156,0
1157,0
1158,0
1159,0
1160,1
1161,0
1162,0
1163,0
1164,0
1165,0
1166,0
1167,0
1168,1
1169,1
1170,0
1171,1
1172,0
1173,1
1174,0
1175,0
1176,1
1177,1
1178,1
1179,1
1180,0
1181,1
1182,0
1183,0
1184,0
1185,0
1186,0
1187,1
1188,1
1189,1
1190,0
1191,0
1192,1
1193,0
1194,0
1195,1
1196,0
1197,0
1198,1
1199,0
1200,0
1201,1
1202,1
1203,1
1204,0
1205,0
1206,1
1207,1
1208,0
1209,1
1210,0
1211,0
1212,1
1213,1
1214,1
1215,0
1216,0
1217,0
1218,0
1219,1
1220,1
1221,1
1222,0
1223,1
1224,1
1225,1
1226,0
1227,0
1228,0
1229,0
1230,0
1231,1
1232,0
1233,1
1234,1
1235,0
1236,0
1237,0
1238,1
1239,0
1240,0
1241,0
1242,0
1243,0
1244,1
1245,1
1246,1
1247,0
1248,0
1249,1
1250,1
1251,1
1252,0
1253,1
1254,0
1255,1
1256,1
1257,1
1258,0
1259,0
1260,1
1261,1
1262,1
1263,0
1264,1
1265,0
1266,1
1267,0
1268,1
1269,0
1270,0
1271,1
1272,0
1273,1
1274,1
1275,1
1276,1
1277,1
1278,0
1279,1
1280,1
1281,1
1282,0
1283,0
1284,0
1285,0
1286,0
1287,1
1288,1
1289,1
1290,1
1291,0
1292,0
1293,0
1294,0
1295,1
1296,0
1297,0
1298,0
1299,1
1300,1
1301,1
1302,1
1303,0
1304,0
1305,1
1306,1
1307,0
1308,0
1309,1
1310,0
1311,1
1312,1
1313,1
1314,1
1315,0
1316,1
1317,1
1318,0
1319,1
1320,0
1321,1
1322,1
1323,0
1324,1
1325,0
1326,1
1327,0
1328,0
1329,1
1330,1
1331,0
1332,0
1333,0
1334,0
1335,1
1336,1
1337,0
1338,0
1339,1
1340,1
1341,1
1342,1
1343,0
1344,0
1345,0
1346,1
1347,1
1348,1
1349,1
1350,1
1351,0
1352,0
1353,1
1354,1
1355,1
1356,0
1357,1
1358,1
1359,1
1360,1
1361,0
1362,1
1363,0
1364,0
1365,1
1366,1
1367,0
1368,0
1369,1
1370,1
1371,0
1372,0
1373,0
1374,0
1375,0
1376,1
1377,1
1378,0
1379,1
1380,1
1381,0
1382,0
1383,1
1384,1
1385,0
1386,0
1387,0
1388,0
1389,1
1390,1
1391,1
1392,1
1393,1
1394,0
1395,0
1396,1
1397,1
1398,0
1399,1
1400,0
1401,0
1402,1
1403,0
1404,1
1405,0
1406,0
1407,1
1408,1
1409,0
1410,1
1411,0
1412,1
1413,0
1414,0
1415,0
1416,0
1417,0
1418,1
1419,1
1420,0
1421,0
1422,1
1423,1
1424,1
1425,1
1426,0
1427,1
1428,1
1429,0
1430,0
1431,0
1432,1
1433,0
1434,0
1435,1
1436,1
1437,0
1438,1
1439,1
1440,0
1441,1
1442,1
1443,1
1444,1
1445,1
1446,0
1447,1
1448,0
1449,1
1450,0
1451,1
1452,1
1453,1
1454,1
1455,1
1456,1
1457,0
1458,0
1459,0
1460,1
1461,0
1462,1
1463,0
1464,0
1465,0
1466,0
1467,0
1468,1
1469,1
1470,0
1471,1
1472,0
1473,1
1474,1
1475,0
1476,0
1477,0
1478,1
1479,0
1480,1
1481,1
1482,1
1483,1
1484,1
1485,0
1486,0
1487,1
1488,0
1489,0
1490,0
1491,1
1492,0
1493,1
1494,0
1495,1
1496,0
1497,0
1498,0
1499,1
1500,1
1501,0
1502,1
1503,0
1504,0
1505,1
1506,1
1507,1
1508,1
1509,0
1510,0
1511,1
1512,1
1513,0
1514,0
1515,1
1516,1
1517,1
1518,1
1519,0
1520,1
1521,1
1522,1
1523,1
1524,0
1525,1
1526,0
1527,0
1528,1
1529,0
1530,0
1531,1
1532,1
1533,1
1534,1
1535,1
1536,0
1537,0
1538,1
1539,1
1540,0
1541,0
1542,0
1543,0
1544,0
1545,0
1546,1
1547,0
1548,0
1549,1
1550,0
1551,0
1552,0
1553,0
1554,0
1555,1
1556,0
1557,1
1558,1
1559,0
1560,1
1561,1
1562,1
1563,1
1564,0
1565,0
1566,1
1567,1
1568,1
1569,1
1570,0
1571,0
1572,1
1573,0
1574,0
1575,0
1576,0
1577,1
1578,0
1579,1
1580,0
1581,1
1582,1
1583,0
1584,1
1585,0
1586,1
1587,0
1588,1
1589,1
1590,0
1591,0
1592,1
1593,0
1594,0
1595,1
1596,1
1597,0
1598,1
1599,1
1600,0
1601,0
1602,1
1603,1
1604,0
1605,1
1606,0
1607,0
1608,1
1609,1
1610,0
1611,0
1612,1
1613,0
1614,0
1615,1
1616,1
1617,0
1618,0
1619,1
1620,0
1621,0
1622,0
1623,1
1624,0
1625,0
1626,0
1627,1
1628,0
1629,1
1630,1
1631,1
1632,0
1633,0
1634,0
1635,1
1636,1
1637,0
1638,1
1639,1
1640,1
1641,1
1642,1
1643,0
1644,1
1645,0
1646,0
1647,0
1648,0
1649,0
1650,0
1651,0
1652,0
1653,0
1654,1
1655,1
1656,1
1657,0
1658,0
1659,1
1660,1
1661,0
1662,0
1663,0
1664,0
1665,0
1666,1
1667,1
1668,0
1669,1
1670,0
1671,0
1672,1
1673,1
1674,1
1675,0
1676,0
1677,1
1678,1
1679,0
1680,0
1681,1
1682,0
1683,0
1684,0
1685,1
1686,1
1687,0
1688,0
1689,1
1690,0
1691,0
1692,1
1693,1
1694,1
1695,0
1696,0
1697,0
1698,1
1699,0
1700,0
1701,0
1702,0
1703,1
1704,1
1705,0
1706,1
1707,0
1708,0
1709,0
1710,1
1711,1
1712,1
1713,0
1714,0
1715,0
1716,0
1717,1
1718,0
1719,0
1720,1
1721,0
1722,0
1723,0
1724,1
1725,1
1726,0
1727,0
1728,1
1729,1
1730,0
1731,1
1732,1
1733,0
1734,1
1735,1
1736,0
1737,0
1738,1
1739,0
1740,1
1741,0
1742,0
1743,1
1744,0
1745,0
1746,0
1747,1
1748,1
1749,0
1750,1
1751,1
1752,0
1753,1
1754,0
1755,0
1756,0
1757,1
1758,0
1759,0
1760,1
1761,0
1762,0
1763,1
1764,1
1765,0
1766,1
1767,1
1768,1
1769,0
1770,1
1771,0
1772,1
1773,0
1774,0
1775,0
1776,1
1777,0
1778,1
1779,0
1780,0
1781,0
1782,0
1783,1
1784,0
1785,0
1786,1
1787,0
1788,0
1789,1
1790,0
1791,0
1792,0
1793,0
1794,1
1795,0
1796,1
1797,0
1798,1
1799,1
1800,1
1801,0
1802,1
1803,1
1804,1
1805,0
1806,1
1807,0
1808,1
1809,1
1810,1
1811,1
1812,0
1813,0
1814,1
1815,1
1816,0
1817,0
1818,1
1819,0
1820,0
1821,0
1822,1
1823,1
1824,0
1825,1
1826,0
1827,1
1828,1
1829,0
1830,0
1831,1
1832,0
1833,0
1834,0
1835,0
1836,0
1837,0
1838,0
1839,0
1840,1
1841,1
1842,1
1843,1
1844,1
1845,1
1846,0
1847,1
1848,0
1849,1
1850,0
1851,0
1852,1
1853,0
1854,1
1855,1
1856,0
1857,1
1858,0
1859,0
1860,0
1861,1
1862,0
1863,0
1864,0
1865,0
1866,1
1867,1
1868,0
1869,0
1870,0
1871,1
1872,0
1873,0
1874,1
1875,1
1876,1
1877,0
1878,0
1879,1
1880,1
1881,0
1882,1
1883,1
1884,1
1885,0
1886,0
1887,0
1888,0
1889,0
1890,1
1891,1
1892,1
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,1
1902,1
1903,1
1904,0
1905,0
1906,1
1907,1
1908,1
1909,0
1910,0
1911,1
1912,1
1913,0
1914,1
1915,0
1916,1
1917,0
1918,0
1919,0
1920,1
1921,1
1922,1
1923,0
1924,0
1925,1
1926,0
1927,1
1928,1
1929,0
1930,1
1931,0
1932,0
1933,0
1934,1
1935,1
1936,0
1937,1
1938,0
1939,1
1940,1
1941,1
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,1
1949,1
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,1
1961,0
1962,1
1963,1
1964,1
1965,1
1966,1
1967,1
1968,1
1969,0
1970,0
1971,0
1972,1
1973,0
1974,0
1975,1
1976,0
1977,1
1978,1
1979,0
1980,0
1981,1
1982,1
1983,0
1984,0
1985,0
1986,0
1987,1
1988,0
1989,1
1990,0
1991,1
1992,1
1993,0
1994,1
1995,0
1996,1
1997,0
1998,1
1999,1
2000,0
2001,1
2002,0
2003,1
2004,0
2005,0
2006,0
2007,0
2008,0
2009,1
2010,1
2011,0
2012,0
2013,0
2014,0
2015,0
2016,1
2017,0
2018,0
2019,0
2020,0
2021,0
2022,0
2023,0
2024,0
2025,0
2026,1
2027,1
2028,1
2029,1
2030,0
2031,0
2032,0
2033,1
2034,1
2035,1
2036,1
2037,1
2038,1
2039,0
2040,0
2041,1
2042,0
2043,0
2044,0
2045,0
2046,1
2047,1
2048,1
2049,0
2050,0
2051,1
2052,1
2053,0
2054,0
2055,0
2056,0
2057,1
2058,0
2059,1
2060,1
2061,1
2062,0
2063,1
2064,1
2065,1
2066,1
2067,1
2068,0
2069,0
2070,0
2071,0
2072,1
2073,0
2074,0
2075,1
2076,1
2077,0
2078,0
2079,1
2080,1
2081,0
2082,1
2083,0
2084,0
2085,0
2086,1
2087,1
2088,1
2089,0
2090,1
2091,1
2092,0
2093,0
2094,0
2095,1
2096,0
2097,1
2098,0
2099,1
2100,1
2101,0
2102,1
2103,0
2104,1
2105,0
2106,1
2107,0
2108,1
2109,0
2110,0
2111,0
2112,1
2113,1
2114,1
2115,1
2116,0
2117,1
2118,1
2119,1
2120,1
2121,1
2122,1
2123,1
2124,0
2125,1
2126,0
2127,1
2128,1
2129,0
2130,0
2131,1
2132,0
2133,0
2134,1
2135,0
2136,0
2137,0
2138,0
2139,1
2140,1
2141,0
2142,1
2143,0
2144,1
2145,0
2146,1
2147,0
2148,1
2149,1
2150,0
2151,1
2152,1
2153,1
2154,1
2155,1
2156,0
2157,0
2158,0
2159,0
2160,0
2161,0
2162,1
2163,0
2164,0
2165,0
2166,0
2167,0
2168,0
2169,1
2170,0
2171,0
2172,0
2173,1
2174,0
2175,1
2176,1
2177,0
2178,0
2179,0
2180,0
2181,0
2182,1
2183,0
2184,1
2185,1
2186,1
2187,1
2188,0
2189,1
2190,0
2191,1
2192,0
2193,1
2194,0
2195,0
2196,1
2197,1
2198,0
2199,0
2200,0
2201,1
2202,0
2203,0
2204,1
2205,1
2206,0
2207,1
2208,0
2209,0
2210,1
2211,0
2212,0
2213,1
2214,0
2215,1
2216,0
2217,1
2218,0
2219,0
2220,0
2221,0
2222,1
2223,1
2224,1
2225,1
2226,1
2227,0
2228,1
2229,1
2230,0
2231,0
2232,1
2233,0
2234,0
2235,0
2236,1
2237,0
2238,1
2239,0
2240,0
2241,1
2242,0
2243,0
2244,0
2245,0
2246,1
2247,0
2248,1
2249,1
2250,1
2251,0
2252,1
2253,1
2254,0
2255,0
2256,1
2257,0
2258,0
2259,0
2260,1
2261,0
2262,0
2263,0
2264,0
2265,1
2266,0
2267,1
2268,0
2269,0
2270,1
2271,0
2272,1
2273,0
2274,1
2275,1
2276,1
2277,0
2278,0
2279,0
2280,0
2281,1
2282,0
2283,0
2284,0
2285,0
2286,0
2287,0
2288,0
2289,0
2290,0
2291,1
2292,0
2293,1
2294,1
2295,1
2296,0
2297,0
2298,0
2299,1
2300,1
2301,1
2302,1
2303,1
2304,0
2305,1
2306,1
2307,1
2308,1
2309,0
2310,1
2311,0
2312,0
2313,0
2314,0
2315,1
2316,1
2317,1
2318,1
2319,0
2320,0
2321,1
2322,1
2323,0
2324,1
2325,0
2326,0
2327,1
2328,0
2329,0
2330,1
2331,1
2332,1
2333,0
2334,0
2335,0
2336,0
2337,0
2338,0
2339,0
2340,1
2341,1
2342,0
2343,1
2344,0
2345,0
2346,0
2347,0
2348,0
2349,1
2350,1
2351,0
2352,0
2353,1
2354,1
2355,0
2356,1
2357,0
2358,1
2359,1
2360,0
2361,0
2362,1
2363,0
2364,0
2365,1
2366,0
2367,0
2368,0
2369,1
2370,0
2371,1
2372,0
2373,0
2374,0
2375,0
2376,0
2377,0
2378,1
2379,0
2380,1
2381,1
2382,1
2383,1
2384,1
2385,1
2386,1
2387,0
2388,0
2389,0
2390,0
2391,1
2392,0
2393,1
2394,0
2395,0
2396,1
2397,0
2398,1
2399,1
2400,1
2401,1
2402,1
2403,0
2404,1
2405,0
2406,0
2407,1
2408,0
2409,1
2410,0
2411,0
2412,1
2413,1
2414,0
2415,0
2416,0
2417,1
2418,0
2419,1
2420,1
2421,1
2422,1
2423,1
2424,0
2425,1
2426,0
2427,0
2428,0
2429,1
2430,1
2431,0
2432,1
2433,0
2434,0
2435,1
2436,0
2437,0
2438,1
2439,1
2440,0
2441,1
2442,0
2443,1
2444,1
2445,0
2446,1
2447,0
2448,1
2449,0
2450,0
2451,0
2452,1
2453,0
2454,1
2455,1
2456,0
2457,0
2458,1
2459,1
2460,1
2461,1
2462,1
2463,1
2464,1
2465,0
2466,1
2467,1
2468,0
2469,0
2470,0
2471,0
2472,0
2473,0
2474,1
2475,0
2476,0
2477,1
2478,1
2479,0
2480,0
2481,0
2482,1
2483,0
2484,1
2485,0
2486,0
2487,0
2488,0
2489,1
2490,0
2491,0
2492,1
2493,1
2494,1
2495,0
2496,1
2497,1
2498,1
2499,1
2500,0
2501,0
2502,0
2503,1
2504,1
2505,0
2506,0
2507,1
2508,1
2509,0
2510,0
2511,1
2512,1
2513,0
2514,1
2515,0
2516,0
2517,0
2518,1
2519,1
2520,1
2521,0
2522,0
2523,1
2524,1
2525,1
2526,0
2527,1
2528,1
2529,1
2530,0
2531,1
2532,0
2533,0
2534,1
2535,0
2536,0
2537,1
2538,0
2539,0
2540,0
2541,0
2542,0
2543,1
2544,0
2545,0
2546,0
2547,1
2548,0
2549,1
2550,0
2551,1
2552,0
2553,1
2554,0
2555,1
2556,1
2557,1
2558,0
2559,1
2560,0
2561,1
2562,1
2563,0
2564,1
2565,0
2566,1
2567,0
2568,0
2569,1
2570,0
2571,0
2572,1
2573,1
2574,0
2575,0
2576,0
2577,1
2578,0
2579,1
2580,1
2581,0
2582,0
2583,1
2584,0
2585,1
2586,0
2587,1
2588,0
2589,0
2590,1
2591,0
2592,1
2593,1
2594,0
2595,0
2596,1
2597,1
2598,0
2599,1
2600,0
2601,0
2602,1
2603,0
2604,0
2605,0
2606,1
2607,0
2608,1
2609,1
2610,0
2611,1
2612,1
2613,1
2614,1
2615,1
2616,0
2617,1
2618,1
2619,1
2620,0
2621,1
2622,0
2623,0
2624,0
2625,0
2626,1
2627,0
2628,0
2629,1
2630,0
2631,1
2632,0
2633,0
2634,1
2635,1
2636,0
2637,0
2638,0
2639,1
2640,0
2641,1
2642,1
2643,0
2644,0
2645,0
2646,0
2647,0
2648,0
2649,0
2650,0
2651,0
2652,0
2653,0
2654,0
2655,1
2656,1
2657,1
2658,1
2659,1
2660,1
2661,0
2662,0
2663,0
2664,0
2665,1
2666,0
2667,0
2668,0
2669,0
2670,0
2671,0
2672,0
2673,0
2674,0
2675,0
2676,1
2677,0
2678,1
2679,0
2680,1
2681,1
2682,0
2683,0
2684,0
2685,1
2686,1
2687,1
2688,1
2689,0
2690,1
2691,0
2692,1
2693,1
2694,1
2695,0
2696,1
2697,1
2698,0
2699,1
2700,0
2701,1
2702,0
2703,0
2704,0
2705,0
2706,1
2707,0
2708,0
2709,1
2710,1
2711,1
2712,0
2713,0
2714,1
2715,0
2716,1
2717,0
2718,1
2719,0
2720,1
2721,1
2722,0
2723,1
2724,1
2725,0
2726,1
2727,1
2728,0
2729,0
2730,1
2731,1
2732,0
2733,0
2734,1
2735,0
2736,1
2737,0
2738,0
2739,1
2740,1
2741,0
2742,0
2743,0
2744,1
2745,1
2746,1
2747,0
2748,0
2749,0
2750,0
2751,0
2752,1
2753,1
2754,0
2755,0
2756,0
2757,1
2758,1
2759,1
2760,1
2761,0
2762,0
2763,0
2764,1
2765,0
2766,1
2767,0
2768,1
2769,1
2770,0
2771,1
2772,1
2773,1
2774,1
2775,1
2776,0
2777,0
2778,1
2779,0
2780,0
2781,1
2782,0
2783,1
2784,1
2785,1
2786,0
2787,0
2788,0
2789,1
2790,1
2791,0
2792,0
2793,0
2794,0
2795,0
2796,1
2797,0
2798,1
2799,0
2800,0
2801,1
2802,1
2803,1
2804,0
2805,1
2806,1
2807,0
2808,0
2809,0
2810,1
2811,0
2812,1
2813,0
2814,0
2815,0
2816,1
2817,0
2818,1
2819,1
2820,0
2821,0
2822,1
2823,1
2824,0
2825,1
2826,0
2827,1
2828,1
2829,1
2830,0
2831,0
2832,0
2833,1
2834,1
2835,0
2836,0
2837,0
2838,0
2839,1
2840,1
2841,0
2842,1
2843,0
2844,0
2845,1
2846,1
2847,1
2848,0
2849,0
2850,1
2851,1
2852,1
2853,0
2854,1
2855,0
2856,1
2857,1
2858,0
2859,1
2860,1
2861,1
2862,1
2863,0
2864,1
2865,0
2866,1
2867,0
2868,1
2869,1
2870,1
2871,0
2872,0
2873,1
2874,0
2875,1
2876,1
2877,0
2878,1
2879,1
2880,0
2881,1
2882,0
2883,0
2884,0
2885,1
2886,0
2887,0
2888,1
2889,1
2890,0
2891,1
2892,0
2893,0
2894,1
2895,0
2896,1
2897,0
2898,0
2899,1
2900,1
2901,1
2902,0
2903,0
2904,1
2905,0
2906,1
2907,1
2908,1
2909,0
2910,0
2911,0
2912,0
2913,0
2914,0
2915,1
2916,0
2917,1
2918,0
2919,0
2920,1
2921,1
2922,1
2923,0
2924,0
2925,1
2926,1
2927,1
2928,1
2929,0
2930,0
2931,1
2932,1
2933,1
2934,1
2935,0
2936,0
2937,1
2938,0
2939,0
2940,1
2941,1
2942,0
2943,0
2944,1
2945,0
2946,1
2947,1
2948,1
2949,1
2950,1
2951,0
2952,1
2953,0
2954,1
2955,1
2956,1
2957,0
2958,1
2959,0
2960,0
2961,0
2962,0
2963,1
2964,1
2965,0
2966,1
2967,0
2968,1
2969,1
2970,0
2971,1
2972,0
2973,0
2974,0
2975,1
2976,1
2977,0
2978,1
2979,0
2980,0
2981,0
2982,1
2983,0
2984,1
2985,1
2986,0
2987,1
2988,0
2989,1
2990,1
2991,1
2992,0
2993,0
2994,1
2995,1
2996,0
2997,0
